Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Incident Resolution Time (in Hours),Financial Loss (in Million $)
Phishing,IT,973388,Nation-state,Zero-day,63,27.46
DDoS,Government,890675,Hacker Group,Unpatched Software,5,69.28
SQL Injection,Education,710896,Nation-state,Zero-day,18,68.96
SQL Injection,Retail,30883,Nation-state,Weak Passwords,51,2.85
SQL Injection,Government,153355,Unknown,Zero-day,57,53.76
DDoS,Healthcare,96706,Insider,Unpatched Software,42,25.83
SQL Injection,IT,959797,Nation-state,Social Engineering,32,43.76
Phishing,Telecommunications,501864,Hacker Group,Unpatched Software,12,9.45
Man-in-the-Middle,IT,358626,Unknown,Weak Passwords,26,63.57
Man-in-the-Middle,Healthcare,64472,Insider,Social Engineering,43,11.3
DDoS,Education,23683,Hacker Group,Weak Passwords,69,82.11
Man-in-the-Middle,IT,22635,Unknown,Unpatched Software,8,5.21
SQL Injection,Government,894933,Insider,Weak Passwords,59,98.75
Malware,Banking,259176,Unknown,Unpatched Software,3,55.34
Man-in-the-Middle,Banking,987115,Unknown,Social Engineering,55,12.36
DDoS,Healthcare,727601,Insider,Social Engineering,50,6.48
Phishing,Retail,542850,Nation-state,Zero-day,41,56.53
Ransomware,Education,352194,Nation-state,Unpatched Software,10,41.15
Malware,Healthcare,571521,Nation-state,Weak Passwords,8,39.83
SQL Injection,Healthcare,933271,Insider,Unpatched Software,30,47.59
Phishing,Banking,884502,Insider,Unpatched Software,55,98.06
Ransomware,IT,762001,Nation-state,Social Engineering,67,57.27
DDoS,Government,351330,Nation-state,Weak Passwords,57,82.49
Malware,Healthcare,158107,Unknown,Unpatched Software,43,37.73
SQL Injection,Government,632319,Unknown,Weak Passwords,47,77.45
DDoS,Government,352250,Insider,Zero-day,39,75.52
Ransomware,Telecommunications,504165,Hacker Group,Zero-day,55,11.28
DDoS,Telecommunications,738981,Unknown,Social Engineering,45,36.69
Ransomware,Banking,555527,Unknown,Unpatched Software,33,79.33
SQL Injection,Banking,681856,Insider,Zero-day,52,59.78
DDoS,Retail,197609,Nation-state,Social Engineering,15,38.65
Man-in-the-Middle,Banking,685291,Hacker Group,Social Engineering,53,85.29
Ransomware,Retail,835730,Insider,Zero-day,14,37.49
Phishing,Education,907547,Unknown,Unpatched Software,33,48.57
Phishing,Retail,298096,Unknown,Social Engineering,16,3.0
Phishing,Retail,18579,Unknown,Social Engineering,13,33.06
Malware,Education,490771,Nation-state,Weak Passwords,70,70.9
Phishing,Healthcare,394577,Nation-state,Unpatched Software,33,38.12
DDoS,Telecommunications,155426,Nation-state,Zero-day,16,35.19
Ransomware,Education,444399,Insider,Zero-day,38,88.9
Man-in-the-Middle,Healthcare,770028,Unknown,Unpatched Software,58,7.96
Ransomware,Retail,608520,Hacker Group,Zero-day,14,66.38
DDoS,Healthcare,471113,Hacker Group,Unpatched Software,71,91.45
Man-in-the-Middle,Retail,311253,Nation-state,Weak Passwords,36,63.65
DDoS,IT,390409,Insider,Zero-day,31,84.19
SQL Injection,IT,604786,Unknown,Zero-day,34,28.35
SQL Injection,Government,568377,Unknown,Social Engineering,38,84.23
SQL Injection,Telecommunications,267678,Insider,Zero-day,13,29.89
Malware,Education,592485,Insider,Weak Passwords,10,5.95
DDoS,Government,639011,Insider,Weak Passwords,26,84.85
Man-in-the-Middle,Telecommunications,446243,Unknown,Zero-day,66,28.82
DDoS,Government,10438,Nation-state,Unpatched Software,10,22.48
SQL Injection,IT,796195,Nation-state,Social Engineering,20,97.37
SQL Injection,Telecommunications,55392,Unknown,Zero-day,44,53.32
DDoS,IT,579291,Hacker Group,Unpatched Software,6,63.11
Malware,Banking,791366,Unknown,Unpatched Software,61,70.19
Malware,IT,727826,Unknown,Weak Passwords,63,92.29
Malware,IT,608695,Nation-state,Unpatched Software,31,98.07
SQL Injection,Retail,496667,Unknown,Zero-day,45,13.96
Malware,Retail,353887,Unknown,Weak Passwords,59,56.9
Ransomware,Banking,713584,Insider,Weak Passwords,26,32.69
DDoS,IT,417831,Unknown,Unpatched Software,36,70.09
Ransomware,Banking,51219,Unknown,Zero-day,36,22.62
Ransomware,Retail,153257,Insider,Zero-day,59,47.91
Phishing,Retail,768022,Unknown,Zero-day,64,20.58
Phishing,Banking,314347,Hacker Group,Unpatched Software,28,26.29
Phishing,IT,649406,Insider,Social Engineering,27,33.51
Phishing,Education,744595,Insider,Zero-day,44,68.28
DDoS,Banking,126781,Insider,Weak Passwords,32,14.72
Phishing,Retail,427167,Insider,Unpatched Software,11,44.29
Ransomware,Retail,396865,Insider,Social Engineering,42,41.54
Phishing,Telecommunications,902952,Unknown,Weak Passwords,8,90.67
Ransomware,IT,632075,Insider,Social Engineering,64,34.94
SQL Injection,Healthcare,728486,Nation-state,Social Engineering,61,83.73
DDoS,Education,109439,Insider,Zero-day,32,64.62
Malware,Education,1174,Insider,Weak Passwords,23,86.38
Phishing,Education,953987,Insider,Social Engineering,65,25.7
DDoS,Government,713309,Hacker Group,Zero-day,51,56.2
DDoS,Healthcare,334528,Insider,Weak Passwords,5,11.38
Phishing,IT,219826,Nation-state,Social Engineering,38,92.53
SQL Injection,Telecommunications,916744,Nation-state,Social Engineering,47,88.6
Man-in-the-Middle,IT,568560,Hacker Group,Zero-day,49,30.4
Malware,Education,440178,Insider,Unpatched Software,15,90.7
SQL Injection,Healthcare,172628,Insider,Weak Passwords,4,45.38
Ransomware,Government,257989,Unknown,Unpatched Software,68,71.33
Phishing,Healthcare,573560,Hacker Group,Social Engineering,9,9.42
Malware,Education,850056,Hacker Group,Weak Passwords,65,5.27
DDoS,Retail,860119,Nation-state,Unpatched Software,30,41.59
SQL Injection,Education,140958,Insider,Social Engineering,51,98.78
DDoS,Telecommunications,965727,Nation-state,Zero-day,32,61.24
Malware,Telecommunications,20269,Unknown,Social Engineering,36,69.34
DDoS,Retail,323011,Nation-state,Social Engineering,25,7.84
Ransomware,Retail,50321,Nation-state,Social Engineering,25,57.17
DDoS,Banking,851863,Insider,Weak Passwords,25,33.99
DDoS,IT,704925,Unknown,Unpatched Software,52,22.45
Ransomware,Banking,355077,Nation-state,Unpatched Software,65,27.78
Malware,Education,866057,Unknown,Social Engineering,17,47.12
SQL Injection,Telecommunications,169455,Insider,Zero-day,23,48.77
SQL Injection,IT,380022,Unknown,Unpatched Software,30,92.35
SQL Injection,Retail,898679,Insider,Zero-day,35,88.98
Ransomware,IT,704157,Unknown,Zero-day,42,61.69
Malware,Telecommunications,262201,Nation-state,Weak Passwords,54,84.57
DDoS,Telecommunications,683261,Hacker Group,Unpatched Software,13,67.87
Phishing,IT,382379,Nation-state,Unpatched Software,2,59.7
Phishing,Government,510657,Nation-state,Social Engineering,62,90.21
SQL Injection,Education,912558,Nation-state,Unpatched Software,69,16.23
Ransomware,Banking,952504,Hacker Group,Zero-day,45,16.91
Phishing,Government,913027,Insider,Unpatched Software,68,41.88
Malware,Government,269271,Insider,Unpatched Software,58,31.04
Ransomware,Healthcare,113404,Hacker Group,Social Engineering,11,37.12
DDoS,Healthcare,310868,Hacker Group,Weak Passwords,10,46.2
Man-in-the-Middle,Telecommunications,458630,Insider,Social Engineering,14,98.3
Ransomware,IT,912183,Unknown,Weak Passwords,44,16.61
Man-in-the-Middle,IT,871891,Unknown,Social Engineering,52,71.06
SQL Injection,Government,863298,Nation-state,Unpatched Software,15,14.17
Malware,Healthcare,434626,Unknown,Social Engineering,29,82.65
Ransomware,IT,195490,Unknown,Zero-day,63,78.27
Ransomware,Retail,19404,Nation-state,Unpatched Software,32,10.44
Ransomware,Healthcare,217438,Hacker Group,Social Engineering,14,21.95
Malware,Healthcare,481452,Unknown,Weak Passwords,57,30.83
SQL Injection,Education,386093,Unknown,Unpatched Software,42,35.57
Man-in-the-Middle,Banking,929020,Nation-state,Weak Passwords,2,28.29
Malware,IT,863756,Nation-state,Unpatched Software,66,4.06
Ransomware,Telecommunications,300898,Nation-state,Unpatched Software,18,58.28
SQL Injection,Healthcare,191328,Insider,Weak Passwords,51,7.31
Man-in-the-Middle,Banking,361849,Hacker Group,Zero-day,63,37.69
Phishing,Retail,30884,Nation-state,Unpatched Software,26,27.99
Ransomware,IT,902924,Unknown,Social Engineering,12,71.55
Man-in-the-Middle,Telecommunications,943178,Nation-state,Weak Passwords,63,27.13
SQL Injection,Telecommunications,994468,Insider,Unpatched Software,8,10.28
Phishing,Retail,131361,Insider,Weak Passwords,39,31.35
Malware,Telecommunications,237658,Unknown,Zero-day,26,80.1
Ransomware,Banking,157313,Hacker Group,Unpatched Software,47,42.19
Man-in-the-Middle,Education,414340,Insider,Unpatched Software,10,40.98
DDoS,Healthcare,153523,Insider,Social Engineering,22,58.8
Phishing,IT,232665,Unknown,Social Engineering,65,3.33
Phishing,Government,383945,Nation-state,Zero-day,49,58.98
Ransomware,Government,762006,Unknown,Weak Passwords,21,4.6
SQL Injection,Government,408103,Nation-state,Unpatched Software,27,96.91
Phishing,Healthcare,44837,Unknown,Zero-day,18,85.91
DDoS,Telecommunications,642699,Unknown,Social Engineering,51,51.49
Ransomware,Telecommunications,634820,Insider,Unpatched Software,33,3.99
Malware,Retail,887718,Insider,Zero-day,55,3.44
DDoS,Education,541631,Unknown,Zero-day,30,52.7
Ransomware,Retail,523522,Unknown,Weak Passwords,57,11.58
DDoS,Government,686309,Unknown,Unpatched Software,42,91.69
Man-in-the-Middle,Education,416328,Nation-state,Zero-day,55,79.89
Man-in-the-Middle,IT,582718,Hacker Group,Social Engineering,20,53.49
Man-in-the-Middle,Telecommunications,549640,Nation-state,Social Engineering,17,18.91
DDoS,Retail,1068,Insider,Social Engineering,3,15.34
DDoS,Telecommunications,959835,Unknown,Zero-day,38,12.72
Ransomware,Retail,227390,Insider,Weak Passwords,40,46.59
SQL Injection,Banking,577763,Insider,Zero-day,43,62.9
SQL Injection,Healthcare,786644,Nation-state,Unpatched Software,41,85.33
Malware,Healthcare,454802,Insider,Unpatched Software,48,85.15
DDoS,Healthcare,371685,Unknown,Social Engineering,34,53.53
Ransomware,Retail,217534,Unknown,Unpatched Software,48,4.32
Man-in-the-Middle,Telecommunications,376612,Nation-state,Unpatched Software,27,31.68
Phishing,Banking,812206,Hacker Group,Unpatched Software,39,84.77
Man-in-the-Middle,Banking,255967,Unknown,Social Engineering,23,82.87
DDoS,Healthcare,463332,Unknown,Weak Passwords,16,5.32
DDoS,IT,771547,Hacker Group,Zero-day,5,31.48
DDoS,Retail,809209,Unknown,Social Engineering,26,86.0
DDoS,Retail,342575,Insider,Social Engineering,49,35.47
Phishing,Retail,478963,Insider,Zero-day,70,94.75
SQL Injection,Banking,910393,Unknown,Weak Passwords,52,39.59
Phishing,Banking,601198,Insider,Zero-day,41,70.52
Ransomware,Government,152302,Hacker Group,Social Engineering,26,6.6
SQL Injection,Healthcare,79102,Nation-state,Zero-day,4,25.85
Ransomware,Retail,837506,Nation-state,Zero-day,8,80.93
Malware,Banking,347441,Hacker Group,Social Engineering,58,63.81
Ransomware,Telecommunications,231198,Insider,Unpatched Software,42,3.63
DDoS,Government,555275,Unknown,Social Engineering,71,80.09
SQL Injection,Retail,46699,Unknown,Zero-day,53,24.51
Man-in-the-Middle,IT,706469,Unknown,Unpatched Software,17,56.23
Ransomware,IT,311165,Unknown,Social Engineering,34,43.73
SQL Injection,Government,304257,Nation-state,Weak Passwords,20,85.13
SQL Injection,Telecommunications,446378,Insider,Unpatched Software,59,24.05
Ransomware,Healthcare,994243,Hacker Group,Social Engineering,54,32.72
Phishing,Healthcare,98634,Unknown,Social Engineering,5,81.75
Phishing,Telecommunications,93999,Nation-state,Social Engineering,65,42.46
SQL Injection,Education,171095,Hacker Group,Zero-day,63,14.54
Man-in-the-Middle,IT,820182,Nation-state,Weak Passwords,16,38.92
SQL Injection,Telecommunications,164890,Insider,Weak Passwords,61,4.2
SQL Injection,Telecommunications,605020,Insider,Unpatched Software,43,75.91
Ransomware,Education,500747,Insider,Unpatched Software,58,44.95
Man-in-the-Middle,IT,854904,Insider,Weak Passwords,12,35.79
SQL Injection,Healthcare,55719,Unknown,Unpatched Software,71,62.44
Phishing,Retail,355008,Hacker Group,Unpatched Software,31,19.93
Phishing,IT,428615,Unknown,Social Engineering,66,75.31
Phishing,Healthcare,108767,Nation-state,Unpatched Software,48,76.4
Man-in-the-Middle,IT,939469,Insider,Unpatched Software,45,28.69
Man-in-the-Middle,Government,325827,Nation-state,Zero-day,39,23.93
Man-in-the-Middle,Education,996762,Hacker Group,Social Engineering,27,30.44
Phishing,IT,319868,Hacker Group,Unpatched Software,52,5.14
Man-in-the-Middle,Banking,66191,Hacker Group,Weak Passwords,71,1.01
Ransomware,IT,925373,Insider,Zero-day,4,18.53
Malware,Telecommunications,913114,Insider,Unpatched Software,15,1.52
DDoS,Healthcare,163975,Nation-state,Unpatched Software,22,84.89
DDoS,Education,876135,Insider,Unpatched Software,67,66.73
Ransomware,Government,595380,Hacker Group,Zero-day,10,72.61
DDoS,Government,840796,Nation-state,Weak Passwords,5,44.16
DDoS,Telecommunications,484908,Unknown,Weak Passwords,42,80.05
SQL Injection,Telecommunications,146100,Unknown,Social Engineering,22,13.69
Phishing,IT,555756,Insider,Zero-day,21,29.02
Ransomware,Retail,340928,Unknown,Social Engineering,61,69.91
Malware,Telecommunications,678640,Insider,Zero-day,44,3.76
Phishing,IT,212798,Insider,Social Engineering,31,57.43
Ransomware,Retail,354024,Unknown,Weak Passwords,33,63.45
Man-in-the-Middle,Government,189354,Insider,Zero-day,39,41.34
Phishing,Education,648363,Unknown,Zero-day,47,22.73
DDoS,IT,231114,Insider,Weak Passwords,37,5.88
Ransomware,Banking,489620,Unknown,Unpatched Software,43,9.81
DDoS,IT,854005,Unknown,Zero-day,14,94.14
Ransomware,IT,550719,Hacker Group,Zero-day,60,33.24
Man-in-the-Middle,Government,445254,Hacker Group,Unpatched Software,42,75.37
Phishing,Education,218097,Unknown,Zero-day,32,49.17
Malware,Telecommunications,324790,Insider,Zero-day,42,94.87
SQL Injection,Government,497965,Unknown,Unpatched Software,25,28.71
SQL Injection,Education,933030,Insider,Social Engineering,27,42.5
Man-in-the-Middle,IT,538338,Nation-state,Zero-day,1,53.07
Phishing,Retail,860459,Hacker Group,Social Engineering,11,99.78
DDoS,Healthcare,276634,Unknown,Unpatched Software,38,82.87
Man-in-the-Middle,Banking,316299,Insider,Social Engineering,66,81.46
Ransomware,Healthcare,410385,Unknown,Zero-day,71,33.66
DDoS,Healthcare,589898,Unknown,Weak Passwords,59,99.28
Man-in-the-Middle,Retail,63760,Hacker Group,Weak Passwords,8,14.86
Ransomware,Banking,58037,Insider,Social Engineering,13,33.75
SQL Injection,Government,994787,Nation-state,Unpatched Software,56,82.03
Ransomware,Retail,89719,Unknown,Zero-day,68,9.53
SQL Injection,Telecommunications,590760,Unknown,Unpatched Software,32,6.09
DDoS,IT,186700,Insider,Weak Passwords,37,29.05
SQL Injection,Education,682430,Hacker Group,Zero-day,5,89.48
SQL Injection,Education,60868,Insider,Social Engineering,46,75.2
SQL Injection,Government,182916,Nation-state,Unpatched Software,17,29.33
DDoS,Education,181879,Insider,Weak Passwords,64,65.96
Phishing,Retail,715732,Unknown,Weak Passwords,11,95.2
Malware,Banking,452477,Hacker Group,Zero-day,23,16.02
Ransomware,Banking,168881,Insider,Social Engineering,5,11.19
SQL Injection,Healthcare,94235,Insider,Social Engineering,29,27.42
Ransomware,Telecommunications,75314,Unknown,Unpatched Software,6,17.38
Man-in-the-Middle,Retail,515797,Nation-state,Social Engineering,46,99.53
DDoS,Telecommunications,363906,Insider,Weak Passwords,31,55.05
DDoS,Education,446296,Unknown,Zero-day,4,79.6
Ransomware,Telecommunications,329972,Nation-state,Unpatched Software,48,65.18
Ransomware,Education,639190,Insider,Social Engineering,33,25.73
Ransomware,Government,135105,Unknown,Unpatched Software,48,33.71
DDoS,Education,103079,Nation-state,Social Engineering,57,94.74
DDoS,IT,822364,Unknown,Zero-day,71,75.88
SQL Injection,Government,597509,Nation-state,Social Engineering,20,75.25
Man-in-the-Middle,Telecommunications,705678,Hacker Group,Zero-day,57,90.37
Phishing,Retail,309967,Unknown,Zero-day,26,14.45
Ransomware,Banking,604250,Unknown,Social Engineering,63,54.47
Ransomware,IT,131900,Unknown,Unpatched Software,21,33.66
Ransomware,Government,305494,Insider,Social Engineering,19,84.51
Malware,Healthcare,907121,Unknown,Social Engineering,33,61.56
Phishing,Banking,879162,Unknown,Zero-day,38,23.32
Man-in-the-Middle,Telecommunications,57237,Unknown,Unpatched Software,52,43.71
Phishing,Telecommunications,880127,Insider,Social Engineering,67,2.84
Phishing,IT,698847,Insider,Zero-day,17,71.4
Man-in-the-Middle,Banking,928859,Unknown,Unpatched Software,32,90.87
SQL Injection,IT,858565,Unknown,Weak Passwords,29,78.94
Malware,Telecommunications,571265,Unknown,Unpatched Software,17,34.33
DDoS,Banking,259321,Nation-state,Social Engineering,62,40.64
Man-in-the-Middle,Banking,121504,Insider,Weak Passwords,32,59.43
DDoS,Banking,670630,Nation-state,Zero-day,4,50.75
Ransomware,Banking,277175,Insider,Social Engineering,72,72.18
Man-in-the-Middle,Retail,952463,Nation-state,Unpatched Software,26,23.35
DDoS,Government,624619,Unknown,Weak Passwords,67,78.32
Phishing,Healthcare,363934,Insider,Weak Passwords,24,20.22
SQL Injection,IT,44750,Unknown,Unpatched Software,22,33.15
DDoS,Banking,736601,Nation-state,Zero-day,26,8.82
Ransomware,Education,42876,Unknown,Unpatched Software,40,43.32
DDoS,Healthcare,536357,Nation-state,Weak Passwords,55,90.4
Phishing,Government,785099,Insider,Social Engineering,29,55.34
DDoS,Healthcare,460544,Unknown,Weak Passwords,29,27.89
Ransomware,Education,881755,Unknown,Zero-day,10,66.04
SQL Injection,Telecommunications,213393,Unknown,Social Engineering,49,10.24
Man-in-the-Middle,Telecommunications,213979,Hacker Group,Unpatched Software,10,43.82
Malware,Telecommunications,570243,Insider,Unpatched Software,51,3.17
Malware,Government,47624,Nation-state,Weak Passwords,70,72.73
Man-in-the-Middle,Banking,72940,Nation-state,Zero-day,26,16.09
Malware,Telecommunications,710142,Insider,Zero-day,56,98.14
Malware,Retail,360524,Hacker Group,Unpatched Software,47,51.91
Phishing,IT,309259,Insider,Zero-day,3,55.9
Phishing,Government,393201,Nation-state,Social Engineering,3,30.68
Ransomware,IT,306799,Unknown,Zero-day,61,65.2
Malware,Healthcare,30180,Insider,Weak Passwords,53,81.92
Phishing,Retail,113745,Unknown,Unpatched Software,2,97.87
Ransomware,Banking,584428,Nation-state,Weak Passwords,34,24.22
Ransomware,Healthcare,178268,Nation-state,Unpatched Software,2,3.27
Phishing,Retail,338578,Unknown,Social Engineering,38,33.69
DDoS,Healthcare,972407,Hacker Group,Zero-day,51,7.31
Ransomware,Banking,817169,Insider,Unpatched Software,54,15.66
Malware,Healthcare,796100,Hacker Group,Social Engineering,20,62.34
Man-in-the-Middle,Banking,530253,Unknown,Weak Passwords,28,76.06
Man-in-the-Middle,Government,165496,Nation-state,Weak Passwords,72,50.36
